CHOOSE_FONT,Choose font,Wähle Schrift
DEFAULT_FONT,Default font,Standardschrift
FONT_SIZE,Font size,Schriftgröße
FORCE_HW_DECODING,Force hardware decoding (Requires program restart),Erzwinge Hardwarebeschleunigung (Erfordert Neustart)
FORCE_HW_DECODING_TOOLTIP,May cause crashes on some systems.,Kann bei einigen System abstürzen.
FAST_FRAME_STEP,Fast frame step,Schneller Frame Step
FAST_FRAME_STEP_TOOLTIP,Amount of frames to skip with fast step.,Wieviel Frames beim schnellen Frame Step geskipt werden.
SHOW_METADATA_DIALOG_ON_NEW_PROJECT,Show metadata dialog on new project,Zeige Metadata Fenster bei einem neuen Projekt.
FUNCTIONS_RANGE_EXTENDER,Range extender,Reichweitenverlängerer
FUNCTIONS_SIMPLIFY,Simplify (Ramer-Douglas-Peucker),Vereinfache (Ramer-Douglas-Peucker)
RANGE,Range,Reichweite
RANGE_EXTENDER_TXT,Select atleast 5 actions to extend.,Wähle mindestens 5 Aktionen zum Verlängern.
EPSILON,Epsilon,Epsilon
SIMPLIFY_TXT,Select atleast 5 actions to simplify.,Wähle mindestens 5 Aktionen zum Vereinfachen.
SPECIAL_FUNCTIONS,Special functions,Spezielle Funktionen
MEMORY_USAGE,Memory usage,Speichergebrauch
UPDATE,Update,Update
SLOWEST,slowest,langsamste
LANGUAGE,Language,Sprache
